population_density,income_level,commercial_activity,weather_temperature,is_holiday,is_weekend,day_of_week,day_of_month,month,day_of_year_sin,day_of_year_cos,waste_generation
532.5524157847962,45173.1245118699,3.342574036824356,11.294894144693632,1,1,6,1,1,0.017213356155834685,0.9998518392091162,1.5222935646674973
317.64110224972865,53368.03913870947,3.7816451720271225,10.664285731483078,0,0,0,2,1,0.03442161162274574,0.9994074007397048,0.9686853948377169
497.19257813137773,45820.000786125354,5.707620369545916,14.41547213457556,0,0,1,3,1,0.051619667223253764,0.998666816288476,0.9013364931309891
423.36349640278536,37189.41086985025,6.302819724205591,8.819108242783027,0,0,2,4,1,0.06880242680231986,0.9976303053065857,1.068965211637308
378.1008836363883,53489.185896734045,4.387790146723115,14.041531199377477,0,0,3,5,1,0.08596479873744647,0.9962981749346078,0.9551330541231214
270.7017584800864,33274.23762549226,6.9356607870110745,13.598955046403852,0,0,4,6,1,0.10310169744743485,0.9946708199115211,1.005405381105035
512.5005466498952,56449.33802003494,3.054572818125779,8.727095003311629,0,1,5,7,1,0.1202080448993527,0.9927487224577402,1.0679771404764404
343.9051987349313,45538.65929038517,1.9602027899993586,10.81361597595319,0,1,6,8,1,0.13727877211326478,0.9905324521322229,1.3150434909796433
405.77836553946014,63934.61818463688,2.327349626968385,10.17183685236064,0,0,0,9,1,0.15430882066428117,0.9880226656636976,1.2493423551484923
715.0248550434578,69781.48421390954,2.8491864157723152,12.611247977039035,0,0,1,10,1,0.1712931441814776,0.9852201067560606,1.151713261267305
626.4232202536756,69773.61120689477,2.374213531767441,14.113242969610456,0,0,2,11,1,0.1882267098432442,0.9821256058680006,1.2009553729314262
304.24667042774934,56362.10112105252,9.042307835792492,11.440545629330217,0,0,3,12,1,0.2051044998686192,0.9787400799669153,1.1942210782351876
570.3782135812872,58696.624415336904,1.8995584248071502,17.391061643130673,0,0,4,13,1,0.2219215130041655,0.9750645322571948,0.9811037758619858
526.556139652831,43544.97947763129,6.874857806793825,17.915147364587096,0,1,5,14,1,0.2386727660059501,0.9711000518829505,1.355105499172153
840.3392417066922,63552.793769666954,4.94974230178545,18.703258880793612,1,1,6,15,1,0.255353295116187,0.9668478136052775,1.8076581946198915
776.6290001744549,65810.02721323447,5.44920093383582,7.104064772696631,0,0,0,16,1,0.2719581575341055,0.9623090774541486,1.1873890305598913
193.2502548580328,20000.0,3.1885405745790703,21.360828876418303,0,0,1,17,1,0.288482432880609,0.9574851883550393,0.9392896558217746
672.2255337917202,57566.943912145274,5.650905449789368,16.272458119955825,0,0,2,18,1,0.30492122465628907,0.9523775757303974,1.208706242313981
753.0394503247398,77362.59615417734,3.1721628898586034,16.173934941955494,0,0,3,19,1,0.3212696616923644,0.9469877530760753,1.1812902935887137
611.8718417456662,42874.19410790431,6.845532364056893,15.983850510460249,0,0,4,20,1,0.3375228995941133,0.9413173175128471,1.0413434116561555
