population_density,income_level,recycling_rate,public_awareness,commercial_activity,waste_generation,efficiency_class
532.5524157847962,45173.1245118699,0.21063118056474106,4.092714157308049,3.342574036824356,1.5222935646674973,3
317.64110224972865,53368.03913870947,0.24225139673413237,3.7430591221214993,3.7816451720271225,0.9686853948377169,1
497.19257813137773,45820.000786125354,0.2873931203573543,5.284990873186789,5.707620369545916,0.9013364931309891,0
423.36349640278536,37189.41086985025,0.13225453251674357,4.321422706208155,6.302819724205591,1.068965211637308,2
378.1008836363883,53489.185896734045,0.2547195350053235,4.0664623568941245,4.387790146723115,0.9551330541231214,0
270.7017584800864,33274.23762549226,0.12666547592196015,3.9429297502210447,6.9356607870110745,1.005405381105035,1
512.5005466498952,56449.33802003494,0.1489820617631396,3.157184089430754,3.054572818125779,1.0679771404764404,2
343.9051987349313,45538.65929038517,0.10401791091839666,3.5068504192689236,1.9602027899993586,1.3150434909796433,3
405.77836553946014,63934.61818463688,0.2250066539897119,4.517260148027004,2.327349626968385,1.2493423551484923,3
715.0248550434578,69781.48421390954,0.26620377855502336,4.408418452260339,2.8491864157723152,1.151713261267305,2
626.4232202536756,69773.61120689477,0.4077419322956223,5.730600210663705,2.374213531767441,1.2009553729314262,2
304.24667042774934,56362.10112105252,0.2803678261995145,5.151860282244967,9.042307835792492,1.1942210782351876,1
570.3782135812872,58696.624415336904,0.29420364870431864,4.776819112656884,1.8995584248071502,0.9811037758619858,1
526.556139652831,43544.97947763129,0.1623259925980074,3.5048761922049567,6.874857806793825,1.355105499172153,3
840.3392417066922,63552.793769666954,0.2772775335546403,4.092691895273633,4.94974230178545,1.8076581946198915,3
776.6290001744549,65810.02721323447,0.3985477580902486,5.418726002549659,5.44920093383582,1.1873890305598913,2
193.2502548580328,20000.0,0.05,2.4126392093954556,3.1885405745790703,0.9392896558217746,2
672.2255337917202,57566.943912145274,0.2730797155169468,4.484405855557381,5.650905449789368,1.208706242313981,2
753.0394503247398,77362.59615417734,0.41001517296222256,5.467492565501876,3.1721628898586034,1.1812902935887137,2
611.8718417456662,42874.19410790431,0.23979393070522922,4.825506965270479,6.845532364056893,1.0413434116561555,1
432.9175712611618,38509.06047732241,0.26411322260555137,4.642586677646791,7.011026955708468,1.230547665357359,3
982.6787830234273,41602.73077827361,0.1970541859394509,5.376536239404477,4.730276126268157,1.348345667672652,3
630.2818561854044,20000.0,0.1301726512593549,2.5945002661913446,4.861271789291443,1.022245265232589,3
895.3088547456455,52519.67908897821,0.2355674356954315,4.548441483575126,5.865447798853667,1.2117088001686624,2
